MeterType,MeterNo,the_geom,POINT_X,POINT_Y,Status
Strada,5023017,POINT (-74.07682938907804 40.64136735333354),962927.950441,172953.149222,Active
Strada,1033049,POINT (-73.9689147748972 40.79112028615361),992857.555936,227504.904292,Active
Strada,1033050,POINT (-73.96972493836466 40.79000848898486),992633.36019,227099.759761,Active
Strada,1033051,POINT (-73.97020991526303 40.78935024940784),992499.148516,226859.894427,Active
Strada,1033052,POINT (-73.97076909516389 40.78858245182798),992344.39981,226580.107257,Active
Strada,1033053,POINT (-73.97119715762459 40.78799136817373),992225.934824,226364.715955,Active
Strada,1033054,POINT (-73.97202668062683 40.786854841287116),991996.359823,225950.565865,Active
Strada,1033055,POINT (-73.9717206798195 40.786940634787214),992081.087344,225981.850579,Active
Strada,1033057,POINT (-73.97080261949962 40.78819728639334),992335.16328,226439.775189,Active
Strada,1033058,POINT (-73.9704701891069 40.78865422208828),992427.161783,226606.283386,Active
Strada,1033059,POINT (-73.96950858174232 40.78996891888177),992693.275752,227085.363792,Active
Strada,1033060,POINT (-73.96900285385598 40.79066602807888),992833.225276,227339.393796,Active
Strada,1033061,POINT (-73.96859398342194 40.79122454107843),992946.370063,227542.919636,Active
Strada,1033062,POINT (-73.96807376946641 40.791938793049425),993090.323187,227803.198315,Retired
Strada,1033063,POINT (-73.96769525600976 40.7924560673449),993195.063463,227991.69761,Active
Strada,1033064,POINT (-73.96708483469533 40.793300365753666),993363.971261,228299.367598,Active
Strada,1033065,POINT (-73.97264322667515 40.78601214004732),991825.722041,225643.487083,Active
Strada,1033066,POINT (-73.97300682836949 40.785512964497165),991725.088384,225461.589153,Active
Strada,1033067,POINT (-73.97353486998895 40.78478912264424),991578.940055,225197.82426,Active
Strada,1033068,POINT (-73.97385676633307 40.78434601436257),991489.846073,225036.358048,Active
Strada,1033069,POINT (-73.97434861331284 40.78367152413019),991353.710846,224790.578028,Active
Strada,1033070,POINT (-73.9752746020609 40.78239691073959),991097.405257,224326.119311,Active
Strada,1033072,POINT (-73.97637258775643 40.7808989843891),990793.478371,223780.290022,Active
Strada,1033077,POINT (-73.97361513761669 40.7843460655549),991556.760309,225036.396762,Active
